; Name 					Mesh
__NAV_R01			__NAV_R01
__NAV_R02			__NAV_R02
__NAV_R03			__NAV_R03
__NAV_R04			__NAV_R04
__NAV_R05			__NAV_R05
__NAV_R06			__NAV_R06
__NAV_R07   		__NAV_R07
__NAV_R08			__NAV_R08
__NAV_R09			__NAV_R09
__NAV_R010			__NAV_R010
__NAV_R011			__NAV_R011
__NAV_R012			__NAV_R012
__NAV_R013			__NAV_R013
__NAV_R014			__NAV_R014
__NAV_R015			__NAV_R015
__NAV_R016			__NAV_R016
__NAV_R017			__NAV_R017
__NAV_R018			__NAV_R018
__NAV_R019			__NAV_R019
__NAV_R020			__NAV_R020
__NAV_R021			__NAV_R021
__NAV_R022			__NAV_R022
__NAV_R023			__NAV_R023
__NAV_R024			__NAV_R024
__NAV_R025			__NAV_R025
__NAV_R026			__NAV_R026
__NAV_R027			__NAV_R027
__NAV_R028			__NAV_R028
__NAV_R029			__NAV_R029
__NAV_R030			__NAV_R030
__NAV_R031			__NAV_R031
__NAV_R032			__NAV_R032
__NAV_R033			__NAV_R033
__NAV_R034			__NAV_R034
__NAV_R035			__NAV_R035
__NAV_R036			__NAV_R036
__NAV_R037			__NAV_R037
__NAV_R038			__NAV_R038
__NAV_R039			__NAV_R039
__NAV_R040			__NAV_R040
__NAV_R041			__NAV_R041
__NAV_R042			__NAV_R042
BlueShrine1			Info_BlueShrine1
BlueShrine2			Info_BlueShrine2
BlueShrine3			Info_BlueShrine3
BlueShrine4			Info_BlueShrine4
BlueShrine5			Info_BlueShrine5
SpeedShrine01                 Info_SpeedShrine1
SpeedShrine02                 Info_SpeedShrine2
SpeedShrine03                 Info_SpeedShrine3
SpeedShrine04                 Info_SpeedShrine4
SpeedShrine05                 Info_SpeedShrine5
MinionGraveyardA		Info_MinionGraveyardA
MinionGraveyardB		Info_MinionGraveyardB
MinionGraveyardC		Info_MinionGraveyardC
MinionGraveyardD		Info_MinionGraveyardD
MinionGraveyardE		Info_MinionGraveyardE
BombPoint			Info_BombPoint
OrderStartPoint		__Spawn_T1
ChaosStartPoint		__Spawn_T2
CapturePointA		Info_PointA
CapturePointB		Info_PointB
CapturePointC		Info_PointC
CapturePointD		Info_PointD
CapturePointE		Info_PointE
Neutral1			Info_NeutralA
Neutral1_1			Info_NeutralA_sub1
Neutral1_2			Info_NeutralA_sub2
Neutral2			Info_NeutralB
Neutral2_1			Info_NeutralB_sub1
Neutral2_2			Info_NeutralB_sub2
Neutral3			Info_NeutralC
Neutral3_1			Info_NeutralC_sub1
Neutral3_2			Info_NeutralC_sub2
Info_MinionSpawnA1	Info_MinionSpawnA1
Info_MinionSpawnA2	Info_MinionSpawnA2
Info_MinionSpawnB1	Info_MinionSpawnB1
Info_MinionSpawnB2	Info_MinionSpawnB2
Info_MinionSpawnC1	Info_MinionSpawnC1
Info_MinionSpawnC2	Info_MinionSpawnC2
Info_MinionSpawnD1	Info_MinionSpawnD1
Info_MinionSpawnD2	Info_MinionSpawnD2
Info_MinionSpawnE1	Info_MinionSpawnE1
Info_MinionSpawnE2	Info_MinionSpawnE2
OrderPortalEntrance	Info_OrderPortalEntrance
OrderPortalExit		Info_OrderPortalExit
ChaosPortalEntrance	Info_ChaosPortalEntrance
ChaosPortalExit		Info_ChaosPortalExit
SigilA			Info_SigilA
SigilB			Info_SigilB
RelicA		Info_HealthRelicA
RelicB		Info_HealthRelicB
RelicC		Info_HealthRelicC
LesserRelic1	Info_LesserRelic1
LesserRelic2	Info_LesserRelic2
LesserRelic3	Info_LesserRelic3
LesserRelic4	Info_LesserRelic4
LesserRelic5	Info_LesserRelic5
LesserRelic6	Info_LesserRelic6
LesserRelic7	Info_LesserRelic7
LargeRelic1		Info_LargeRelic1
LargeRelic2		Info_LargeRelic2
OrderBarrier	Info_Spawn_Barrier1
ChaosBarrier	Info_Spawn_Barrier2
